"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2018","202.59","205.84","205.95","200.47","76.30M","-2.02%"
"03/16/2018","206.77","206.88","207.99","205.69","92.28M","-0.01%"
"03/15/2018","206.79","207.67","208.21","204.82","63.88M","0.18%"
"03/14/2018","206.42","211.60","213.19","206.06","115.50M","-1.20%"
"03/13/2018","208.93","209.64","210.94","208.49","63.27M","-0.26%"
"03/12/2018","209.47","205.88","209.97","205.38","54.38M","2.00%"
"03/09/2018","205.37","204.19","205.38","203.53","45.88M","0.15%"
"03/08/2018","205.06","205.52","206.26","202.67","44.93M","-0.21%"
"03/07/2018","205.50","202.76","205.56","201.53","51.23M","0.16%"
"03/06/2018","205.17","206.84","206.88","203.50","49.86M","-0.28%"
"03/05/2018","205.75","203.01","206.97","202.59","64.60M","0.74%"
"03/02/2018","204.24","201.96","204.39","199.35","93.75M","0.27%"
"03/01/2018","203.70","211.69","212.74","202.56","111.53M","-3.38%"
"02/28/2018","210.82","213.25","214.96","210.68","72.72M","-1.45%"
"02/27/2018","213.92","219.43","220.24","213.92","64.08M","-2.57%"
"02/26/2018","219.57","217.19","220.00","216.74","48.54M","1.53%"
"02/23/2018","216.27","215.62","216.69","215.14","34.71M","0.70%"
"02/22/2018","214.76","212.06","216.00","211.59","43.21M","1.61%"
"02/21/2018","211.36","212.71","214.82","211.33","50.77M","-0.44%"
"02/20/2018","212.29","212.43","214.51","210.91","41.61M","-0.35%"
"02/16/2018","213.03","214.57","217.43","212.45","65.37M","-0.98%"
"02/15/2018","215.14","213.71","215.15","211.94","46.49M","1.12%"
"02/14/2018","212.76","209.63","213.67","209.27","45.12M","0.72%"
"02/13/2018","211.23","210.65","212.02","209.59","52.73M","-0.23%"
"02/12/2018","211.71","211.54","213.12","208.54","76.43M","1.50%"
"02/09/2018","208.59","209.19","211.30","201.84","107.90M","0.50%"
"02/08/2018","207.56","218.44","220.07","207.46","104.76M","-4.99%"
"02/07/2018","218.46","216.01","221.53","215.33","96.24M","1.43%"
"02/06/2018","215.38","205.75","216.09","205.75","175.12M","3.84%"
"02/05/2018","207.41","214.20","216.26","207.38","124.33M","-3.58%"
"02/02/2018","215.11","219.71","219.71","214.33","92.45M","-2.36%"
"02/01/2018","220.32","220.02","222.18","219.54","58.81M","-0.53%"
